time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:15:35	0.0	0.0	0.96	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:35	0.0	0.0	0.96	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:35	0.0	0.0	0.97	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:35	0.0	0.0	0.97	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:35	0.0	0.0	0.98	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:35	0.0	0.0	0.98	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	0.99	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	0.99	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	0.99	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	0.99	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:36	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.02	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.02	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:37	0.0	0.0	1.03	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:38	0.0	0.0	1.03	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:38	0.0	0.0	1.03	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:38	0.0	0.0	1.04	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
